strategy_family,tf,smooth_period,d1_period,d2_period,d1_threshold,d2_threshold,sl_atr_mult,rr,vol_lookback,vol_threshold,train_gate_coverage_pct,train_base_trades,train_base_win_rate,train_base_profit_factor,train_base_max_drawdown_pct,train_base_pnl_pct,train_gated_trades,train_gated_win_rate,train_gated_profit_factor,train_gated_max_drawdown_pct,train_gated_pnl_pct,train_delta_profit_factor,train_delta_drawdown_pct,train_delta_pnl_pct,train_trade_reduction_pct,oos_gate_coverage_pct,oos_base_trades,oos_base_win_rate,oos_base_profit_factor,oos_base_max_drawdown_pct,oos_base_pnl_pct,oos_gated_trades,oos_gated_win_rate,oos_gated_profit_factor,oos_gated_max_drawdown_pct,oos_gated_pnl_pct,oos_delta_profit_factor,oos_delta_drawdown_pct,oos_delta_pnl_pct,oos_trade_reduction_pct,rsi_period,ob_level,os_level,entry_mode
rsi_low_vol,M5,,,,,,1.5,2.0,200,0.3,40.13,220,34.55,1.0556,18.51,5.95,50,30.0,0.8571,13.18,-5.33,-0.1985,-5.33,-11.28,77.27,38.31,1230,34.8,1.0687,37.42,52.99,248,41.13,1.3973,19.03,73.76,0.3286,-18.39,20.77,79.84,14.0,80.0,20.0,touch
rsi_low_vol,M5,,,,,,1.5,2.0,200,0.3,40.13,221,30.77,0.8889,33.47,-17.4,38,28.95,0.8148,11.44,-5.21,-0.0741,-22.03,12.19,82.81,38.31,1230,33.58,1.0123,49.56,-2.23,211,39.81,1.3228,15.41,47.26,0.3105,-34.15,49.49,82.85,14.0,80.0,20.0,cross
rsi_low_vol,M1,,,,,,1.5,3.0,100,0.2,32.52,1397,25.13,1.0415,58.32,23.89,78,28.21,1.2,13.13,10.24,0.1585,-45.19,-13.65,94.42,34.08,6604,25.94,1.0839,54.08,1879.81,595,31.43,1.3818,27.59,325.06,0.2979,-26.49,-1554.75,90.99,14.0,80.0,20.0,cross
rsi_low_vol,M1,,,,,,1.5,4.0,50,0.3,40.91,1397,18.47,0.9754,74.46,-40.21,76,25.0,1.3818,17.55,21.22,0.4064,-56.91,61.43,94.56,42.16,6604,19.47,1.0329,73.69,47.28,603,24.21,1.3273,29.79,268.43,0.2944,-43.9,221.15,90.87,14.0,80.0,20.0,cross
rsi_low_vol,M1,,,,,,1.5,4.0,100,0.2,32.52,1397,18.47,0.9754,74.46,-40.21,78,21.79,1.1525,16.79,7.66,0.1771,-57.67,47.87,94.42,34.08,6604,19.47,1.0329,73.69,47.28,595,24.03,1.318,29.86,247.89,0.2851,-43.83,200.61,90.99,14.0,80.0,20.0,cross
rsi_low_vol,M1,,,,,,1.5,4.0,50,0.2,33.05,1397,18.47,0.9754,74.46,-40.21,48,27.08,1.5294,9.74,18.31,0.554,-64.72,58.52,96.56,34.33,6604,19.47,1.0329,73.69,47.28,390,24.1,1.3101,21.51,123.07,0.2772,-52.18,75.79,94.09,14.0,80.0,20.0,cross
rsi_low_vol,M5,,,,,,1.5,3.0,200,0.2,29.49,475,24.63,0.9804,43.61,-13.03,50,20.0,0.75,19.22,-10.1,-0.2304,-24.39,2.93,89.47,27.25,2161,25.17,1.0143,54.48,-8.7,170,30.0,1.2857,12.4,36.55,0.2714,-42.08,45.25,92.13,21.0,70.0,20.0,cross
rsi_low_vol,M1,,,,,,1.5,3.0,50,0.3,40.91,1397,25.13,1.0415,58.32,23.89,76,30.26,1.3269,13.99,17.03,0.2854,-44.33,-6.86,94.56,42.16,6604,25.94,1.0839,54.08,1879.81,603,30.85,1.3511,27.59,284.64,0.2672,-26.49,-1595.17,90.87,14.0,80.0,20.0,cross
rsi_low_vol,M1,,,,,,1.5,4.0,50,0.2,33.05,2234,18.31,0.9601,93.92,-66.19,122,21.31,1.1304,31.53,9.98,0.1703,-62.39,76.17,94.54,34.33,10544,19.64,1.036,73.18,137.17,1092,23.72,1.2966,35.19,739.76,0.2606,-37.99,602.59,89.64,21.0,70.0,20.0,cross
rsi_low_vol,M1,,,,,,1.5,4.0,100,0.2,32.52,2234,18.31,0.9601,93.92,-66.19,151,18.54,0.9573,37.69,-7.48,-0.0028,-56.23,58.71,93.24,34.08,10544,19.64,1.036,73.18,137.17,1311,23.8,1.296,25.04,1191.5,0.26,-48.14,1054.33,87.57,21.0,70.0,20.0,cross
rsi_low_vol,M1,,,,,,1.5,3.0,50,0.2,33.05,1397,25.13,1.0415,58.32,23.89,48,35.42,1.6452,6.79,21.04,0.6037,-51.53,-2.85,96.56,34.33,6604,25.94,1.0839,54.08,1879.81,390,30.77,1.3433,16.84,134.8,0.2594,-37.24,-1745.01,94.09,14.0,80.0,20.0,cross
