tf,strategy,fft_n,ratio_thresh,pers_thresh,pers_window,session_label,filter_type,clock_pct,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,train_longs,train_shorts,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,oos_longs,oos_shorts,delta_pf,base_pf,base_dd,base_trades,pf_gain
M15,rsi,128,0.06,0.3,10,newyork,fft_clock,9.976323287451343,123,35.77,1.1282,20.1,9.13,58,65,541,33.83,1.0223,32.64,2.62,280,261,-0.1059,0.9571,44.48,621,0.0652
M15,rsi,64,0.06,0.3,20,newyork,fft_clock,18.748745936835345,122,36.89,1.1842,20.12,13.57,54,68,483,33.75,1.0188,29.25,1.18,247,236,-0.1654,0.9571,44.48,621,0.0617
M15,rsi,64,0.1,0.3,20,newyork,fft_clock,17.384325213692364,123,36.59,1.1688,20.92,12.44,55,68,489,33.74,1.0185,29.95,1.12,248,241,-0.1503,0.9571,44.48,621,0.0614
M15,rsi,128,0.06,0.3,20,newyork,fft_clock,10.827079738352262,122,35.25,1.1026,22.5,6.99,56,66,546,33.7,1.0166,33.31,0.55,278,268,-0.086,0.9571,44.48,621,0.0595
M15,rsi,128,0.08,0.3,10,newyork,fft_clock,8.856695694048717,126,34.92,1.0864,20.9,5.89,58,68,555,33.69,1.0163,32.7,0.46,282,273,-0.0701,0.9571,44.48,621,0.0592
M15,rsi,128,0.06,0.5,10,newyork,fft_clock,8.656045587704162,125,36.0,1.1392,20.9,10.2,58,67,553,33.63,1.0136,32.02,-0.52,282,271,-0.1256,0.9571,44.48,621,0.0565
M15,rsi,64,0.08,0.3,20,newyork,fft_clock,18.32738071351178,122,36.89,1.1842,20.12,13.57,54,68,485,33.61,1.0124,29.95,-0.83,248,237,-0.1718,0.9571,44.48,621,0.0553
M15,rsi,128,0.08,0.3,20,newyork,fft_clock,9.117540832296642,126,34.92,1.0864,21.74,5.89,58,68,558,33.51,1.0081,34.02,-2.53,281,277,-0.0783,0.9571,44.48,621,0.051
M15,rsi,128,0.08,0.5,10,newyork,fft_clock,7.849432160199045,128,35.16,1.0976,21.69,6.93,58,70,564,33.51,1.008,32.06,-2.58,283,281,-0.0896,0.9571,44.48,621,0.0509
M15,rsi,128,0.06,0.5,20,newyork,fft_clock,8.335005417552871,128,34.38,1.0602,23.27,3.78,58,70,559,33.45,1.0054,36.62,-3.5,283,276,-0.0548,0.9571,44.48,621,0.0483
M15,rsi,64,0.06,0.5,10,newyork,fft_clock,13.250933022994502,128,36.72,1.175,20.92,13.51,59,69,523,33.27,0.9971,35.26,-6.0,262,261,-0.1779,0.9571,44.48,621,0.04
M15,rsi,64,0.08,0.5,10,newyork,fft_clock,13.234881014486938,128,36.72,1.175,20.92,13.51,59,69,523,33.27,0.9971,35.26,-6.0,262,261,-0.1779,0.9571,44.48,621,0.04
M15,rsi,64,0.1,0.5,10,newyork,fft_clock,13.162646976202897,128,36.72,1.175,20.92,13.51,59,69,523,33.27,0.9971,35.26,-6.0,262,261,-0.1779,0.9571,44.48,621,0.04
M15,rsi,128,0.08,0.5,20,newyork,fft_clock,7.416027930494804,129,34.88,1.0843,21.74,5.86,59,70,569,33.22,0.9947,37.9,-7.36,285,284,-0.0896,0.9571,44.48,621,0.0376
M15,rsi,128,0.06,0.3,20,all,fft_clock,10.827079738352262,624,32.69,0.9737,48.38,-15.75,277,347,2931,33.95,1.0279,52.94,27.91,1455,1476,0.0542,0.9929,67.17,3349,0.035
M15,rsi,64,0.06,0.5,20,newyork,fft_clock,11.930655323247322,129,36.43,1.1605,21.71,12.37,58,71,534,33.15,0.9916,32.75,-7.96,268,266,-0.1689,0.9571,44.48,621,0.0345
M15,rsi,128,0.06,0.5,20,asian,fft_clock,8.335005417552871,267,32.96,0.9832,31.61,-5.48,122,145,1262,33.12,0.9905,38.5,-18.53,618,644,0.0073,0.9563,53.45,1419,0.0342
M15,rsi,128,0.06,0.3,20,asian,fft_clock,10.827079738352262,260,32.69,0.9714,32.91,-7.28,117,143,1233,33.09,0.9891,41.45,-19.11,599,634,0.0177,0.9563,53.45,1419,0.0328
M15,rsi,64,0.08,0.5,20,newyork,fft_clock,11.822304265821261,129,36.43,1.1605,21.71,12.37,58,71,535,33.08,0.9888,33.43,-8.88,269,266,-0.1717,0.9571,44.48,621,0.0317
M15,rsi,64,0.06,0.3,10,newyork,fft_clock,16.834543922308278,120,38.33,1.2603,19.32,19.39,56,64,499,33.07,0.988,31.86,-8.55,256,243,-0.2723,0.9571,44.48,621,0.0309
M15,rsi,64,0.08,0.3,10,newyork,fft_clock,16.786387896785584,120,38.33,1.2603,19.32,19.39,56,64,499,33.07,0.988,31.86,-8.55,256,243,-0.2723,0.9571,44.48,621,0.0309
M15,rsi,64,0.1,0.3,10,newyork,fft_clock,16.5977767968217,120,38.33,1.2603,19.32,19.39,56,64,499,33.07,0.988,31.86,-8.55,256,243,-0.2723,0.9571,44.48,621,0.0309
