tf,fp,tol,lb,rr,session_label,filter_mode,fft_n,delta,min_period,fft_pct,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,train_longs,train_shorts,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,oos_longs,oos_shorts,delta_pf,base_pf,base_dd,base_trades,pf_gain,dd_gain,valid
M5,5,0.5,30,2.0,newyork,full_confl,64,0.05,10,48.3,253,28.06,0.8659,40.85,-21.52,98,155,1372,34.84,1.2679,37.06,560.42,658,714,0.402,1.0301,99.72,26548,0.2378,62.66,True
M5,5,0.5,30,2.0,newyork,full_confl,64,0.03,10,51.6,261,28.74,0.8929,37.88,-18.39,103,158,1448,34.6,1.2478,40.13,536.43,697,751,0.3549,1.0301,99.72,26548,0.2177,59.59,True
M5,5,0.3,30,2.0,asian,full_confl,64,0.05,10,48.3,125,30.4,0.8736,18.33,-11.47,63,62,842,38.12,1.2322,25.97,206.61,438,404,0.3586,0.9945,97.69,14690,0.2377,71.72,True
M5,5,0.3,30,2.0,asian,full_confl,64,0.03,10,51.6,133,30.08,0.8602,17.78,-13.29,67,66,890,37.98,1.2246,23.03,214.4,460,430,0.3644,0.9945,97.69,14690,0.2301,74.66,True
M5,5,0.3,30,2.0,newyork,full_confl,64,0.05,10,48.3,148,27.03,0.8163,29.47,-17.54,54,94,858,33.57,1.205,34.77,145.74,407,451,0.3887,1.0604,93.46,16010,0.1446,58.69,True
M5,5,0.3,30,2.0,newyork,full_confl,64,0.03,10,51.6,156,28.21,0.8627,26.67,-14.26,59,97,897,33.22,1.1825,37.98,130.67,426,471,0.3198,1.0604,93.46,16010,0.1221,55.48,True
M5,5,0.5,30,2.0,asian,full_confl,64,0.03,10,51.6,225,31.56,0.9221,25.13,-13.22,105,120,1545,36.76,1.1639,41.25,321.55,808,737,0.2418,1.0025,99.74,24370,0.1614,58.49,True
M5,5,0.5,30,2.0,asian,full_confl,64,0.05,10,48.3,212,32.55,0.965,22.73,-6.84,101,111,1450,36.76,1.1638,38.0,285.24,764,686,0.1988,1.0025,99.74,24370,0.1613,61.74,True
M5,5,0.3,30,3.0,asian,full_confl,64,0.03,10,51.6,133,21.05,0.8077,23.27,-19.55,67,66,890,27.53,1.1502,37.94,126.99,460,430,0.3425,1.0126,96.86,14690,0.1376,58.92,True
M5,5,0.3,30,2.0,asian,fft_cycle,64,0.03,10,51.6,232,31.9,0.9367,24.35,-11.53,119,113,1370,36.42,1.1458,35.69,208.84,714,656,0.2091,0.9945,97.69,14690,0.1513,62.0,True
M5,5,0.3,30,2.0,asian,fft_cycle,64,0.05,10,48.3,232,31.9,0.9367,24.35,-11.53,119,113,1370,36.42,1.1458,35.69,208.84,714,656,0.2091,0.9945,97.69,14690,0.1513,62.0,True
M5,5,0.3,30,3.0,asian,full_confl,64,0.05,10,48.3,125,21.6,0.8351,20.08,-16.2,63,62,842,27.43,1.1455,37.83,111.2,438,404,0.3104,1.0126,96.86,14690,0.1329,59.03,True
M5,5,0.3,70,2.0,asian,full_confl,64,0.03,10,51.6,268,35.07,1.0805,18.45,11.93,128,140,1571,36.41,1.1451,35.95,262.12,811,760,0.0646,1.0039,98.69,26419,0.1412,62.74,True
M5,5,0.5,70,2.0,newyork,full_confl,64,0.05,10,48.3,377,29.44,0.9098,37.73,-22.45,166,211,2064,33.14,1.1343,49.82,315.49,983,1081,0.2245,0.9979,100.0,41603,0.1364,50.18,True
M5,5,0.3,70,2.0,asian,full_confl,64,0.05,10,48.3,253,34.78,1.0667,19.24,8.8,120,133,1484,36.19,1.1341,35.9,205.37,768,716,0.0674,1.0039,98.69,26419,0.1302,62.79,True
