tf,fft_window,low_pct,high_pct,min_period,sl_atr_mult,rr,session_label,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,total_trades,total_longs,total_shorts,avg_bars
M15,256,0.1,0.2,10,1.5,2.0,newyork,193,34.2,0.9794,14.58,-4.55,864,36.92,1.099,25.1,60.33,1057,533,524,25.726963103122046
M15,256,0.1,0.2,10,1.0,3.0,newyork,193,22.28,0.7951,34.07,-29.71,864,28.36,1.0924,32.15,59.92,1057,533,524,17.84522232734153
M15,256,0.1,0.2,10,1.0,2.0,newyork,193,29.02,0.7481,33.17,-31.88,864,37.38,1.0866,21.24,50.34,1057,533,524,12.173036896877957
M15,256,0.05,0.2,10,1.5,2.0,newyork,218,33.49,0.9489,19.15,-9.39,981,35.98,1.0592,30.5,33.06,1199,602,597,25.763636363636362
M15,256,0.1,0.3,10,1.0,2.0,newyork,219,32.88,0.8979,18.98,-16.53,1030,36.6,1.051,25.07,28.04,1249,629,620,12.552602081665333
M15,256,0.1,0.2,10,1.0,4.0,newyork,193,16.58,0.7388,43.19,-38.07,864,21.88,1.036,50.49,8.03,1057,533,524,21.753074739829707
M15,256,0.1,0.3,10,1.5,2.0,newyork,219,35.16,1.0231,10.75,1.18,1030,35.24,1.022,38.77,4.88,1249,629,620,26.282465972778226
M15,256,0.1,0.3,10,1.0,3.0,newyork,219,24.66,0.909,25.35,-17.41,1030,26.99,1.0205,43.93,0.39,1249,629,620,18.452602081665333
M15,128,0.05,0.2,10,1.5,2.0,london,236,33.9,0.9547,14.97,-9.32,1123,35.35,1.0178,37.6,2.11,1359,690,669,9.647314201618839
M15,256,0.05,0.2,10,1.0,2.0,newyork,218,27.98,0.711,42.74,-39.38,981,35.78,1.014,28.12,-0.7,1199,602,597,12.18181818181818
M15,128,0.1,0.2,10,1.5,2.0,london,195,32.82,0.9084,19.4,-13.51,998,35.27,1.0131,48.75,-1.28,1193,606,587,9.798072087175187
M15,256,0.1,0.3,10,1.0,3.0,london,233,24.89,0.9076,29.37,-18.77,1207,27.01,1.0051,38.5,-13.0,1440,725,715,6.313263888888889
M15,256,0.1,0.2,10,1.0,3.0,london,199,24.62,0.8945,24.69,-18.02,981,27.01,1.0045,42.02,-11.14,1180,590,590,6.266271186440678
M15,256,0.05,0.2,10,1.0,3.0,newyork,218,20.64,0.7215,48.35,-41.68,981,26.61,1.0005,46.64,-13.72,1199,602,597,17.581818181818182
M15,256,0.1,0.2,5,1.0,4.0,newyork,802,17.96,0.8155,79.94,-76.09,4082,21.22,0.9999,81.97,-56.85,4884,2440,2444,22.63873873873874
M15,256,0.05,0.2,5,1.5,2.0,newyork,807,31.35,0.862,62.59,-58.19,4051,34.68,0.9998,66.13,-34.0,4858,2426,2432,26.16743515850144
M15,256,0.1,0.2,5,1.5,2.0,newyork,802,31.17,0.8552,62.46,-59.64,4082,34.69,0.9993,65.49,-35.21,4884,2440,2444,26.1536855036855
M15,256,0.1,0.2,10,1.5,3.0,newyork,193,25.91,0.9951,22.4,-3.58,864,25.81,0.9958,37.64,-14.7,1057,533,524,34.73311258278146
M15,256,0.1,0.2,5,1.0,3.0,newyork,802,23.07,0.8339,75.85,-69.83,4082,26.43,0.993,79.76,-57.26,4884,2440,2444,17.952211302211303
M15,256,0.05,0.2,5,1.5,3.0,newyork,807,24.16,0.9115,66.08,-49.26,4051,25.57,0.9902,82.51,-60.05,4858,2426,2432,35.41891724989708
M15,128,0.1,0.3,10,1.5,2.0,london,261,31.8,0.869,30.72,-23.63,1257,34.69,0.9895,58.26,-19.57,1518,767,751,9.631225296442688
M15,256,0.05,0.2,5,1.0,4.0,newyork,807,17.72,0.8021,82.44,-78.49,4051,21.03,0.9889,84.29,-69.95,4858,2426,2432,22.6013174145739
M15,128,0.05,0.2,10,1.0,3.0,london,236,26.27,0.9726,18.96,-8.37,1123,26.54,0.9857,48.76,-25.88,1359,690,669,6.143119941133186
M15,256,0.1,0.2,5,1.5,3.0,newyork,802,24.19,0.9131,62.91,-48.5,4082,25.5,0.9856,81.36,-65.57,4884,2440,2444,35.34316134316134
M15,256,0.05,0.3,10,1.5,2.0,london,267,33.71,0.949,19.07,-11.41,1336,34.66,0.9838,40.94,-24.74,1603,800,803,9.99987523393637
M15,128,0.05,0.3,10,1.5,2.0,london,299,34.11,0.9656,17.29,-9.61,1407,34.54,0.9832,54.51,-26.23,1706,859,847,9.757737397420867
M15,256,0.05,0.3,10,1.5,2.0,newyork,243,33.33,0.9433,20.09,-11.25,1161,34.28,0.9824,51.28,-22.66,1404,707,697,26.157692307692304
M15,256,0.05,0.2,5,1.0,3.0,newyork,807,22.8,0.8209,79.29,-72.59,4051,26.22,0.9819,83.84,-69.74,4858,2426,2432,17.933882256072458
M15,256,0.05,0.2,10,1.5,3.0,newyork,218,24.77,0.9372,31.35,-12.97,981,25.48,0.9811,48.08,-25.25,1199,602,597,34.87272727272727
